date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
2008-10-30 23:05:00,abilene,tx,us,light,180.0,2-3 minutes,Lights over Abilene&#44 TX,2008-10-31,32.4486111,-99.7327778
1999-02-17 20:50:00,roseville,ca,us,unknown,600.0,10 minutes,A bright red dot seemingly motionless in the sky&#44 when viewed with 114mm Newtonian Telescope the bright red dot demonstrated constant v,1999-04-02,38.7522222,-121.2869444
2006-11-30 23:00:00,carrollton (hwy. 65&#44 northbound),mo,us,other,120.0,2&#44min.,new aircraft in super quiet and slow mode.,2006-12-07,39.3583333,-93.4955556
1998-09-23 21:20:00,renton,wa,us,fireball,4.0,4 sec,Green Fireball,1998-09-26,47.4830556,-122.2158333
2010-03-16 20:20:00,angeles city (philippines),,,disk,10.0,8-10sec,arc like not very visible UFO in philippines angeles city,2010-04-13,15.144985,120.588703
2011-12-24 21:45:00,rio rancho,nm,us,circle,180.0,3 minutes,Rio Rancho&#44 New Mexico UFO spotted on Christmas Eve,2012-01-12,35.2333333,-106.6638889
2007-07-03 13:00:00,stanwood,wa,us,disk,10.0,10 seconds,saucer shaped disk moving across clouds,2007-08-07,48.2413889,-122.3694444
1996-06-20 12:12:00,prince rupert (canada),bc,ca,other,180.0,3-min.,I&#39am submitting two UFO reports from two different places that have the same shape and colour as my ufo that i took on June 20th.1996.,2002-03-19,54.316667,-130.333333
2004-11-11 12:30:00,sioux falls (near),sd,us,light,300.0,approx. 5 mins,My husband and I were driving south on Interstate 29 going to Sioux Falls. When we were about 6-7 miles north&#44 of the city&#44 I was looki,2004-12-03,43.55,-96.7
1995-01-13 22:30:00,napoleon,mi,us,circle,120.0,2 min,what thats not a star I&#39m seeing.,2000-12-20,42.1605556,-84.2461111
2013-07-24 02:31:00,lybrook,nm,us,egg,60.0,1 minute,A triangular star cluster shot off an egg shaped craft southwest on 7/24/13 at 2:31 in the morning over Lybrook NM.,2013-08-30,36.2333333,-107.5616667
1995-04-20 23:20:00,watauga,tx,us,,15.0,15 sec.,Man repts. obj. fly overhead W to E.  Looked like 4 lights in a square pattern&#44 blue in front&#44 3 white lights on other corners.,1999-11-02,32.8577778,-97.2544444
2005-06-10 14:00:00,gainesville,fl,us,triangle,60.0,less than 1min,Short sighting of UFO,2005-06-20,29.6513889,-82.325
2012-10-24 20:40:00,myrtle beach,sc,us,unknown,120.0,2 minutes,Observation&#44 numerous times&#44 orange lights to the East of Myrtle Beach&#44 SC.,2012-10-30,33.6888889,-78.8869444
2004-05-13 20:00:00,slidell,la,us,circle,180.0,3min,Ithink it was at about 30&#44000 feet as it was very small Redish orange in color,2004-06-04,30.275,-89.7811111
2000-06-15 15:00:00,unsure,ny,,sphere,2.0,few seconds,I saw a Golden Ball in the sky over upstate NY&#44 looked solid&#44 no  openings or lights or smoke.,2001-11-20,40.712784,-74.005941
1999-06-11 04:00:00,plain city,oh,us,light,10.0,10 seconds,Dash accross the Sky,1999-06-23,40.1075,-83.2675
2005-11-06 19:50:00,ellsinore,mo,us,fireball,20.0,15-20 seconds,Fireball that split into 7 different objects,2005-11-08,36.9341667,-90.7466667
1998-01-24 15:30:00,tucson,az,us,light,360.0,5-6min,5 lights maneuvering around each other&#44 all caught on video&#44 and seen on the news,1999-01-28,32.2216667,-110.9258333
2002-09-28 06:50:00,seattle,wa,us,fireball,120.0,2 minutes,Streaking objects with smoke/steam tail just above the horizon&#44 east of Seattle just before sunrise. The first appeared at 6:50Am&#44 the,2002-09-29,47.6063889,-122.3308333
2011-01-06 20:30:00,murrieta/wildomar,ca,,triangle,60.0,1 minute,three giant yellow lights&#44 in a triangle form&#44 hovering.  ((NUFORC Note:  Suspected parachute jumpers. PD)),2011-01-31,33.614098,-117.25933
2011-01-03 22:30:00,savoonga,ak,us,light,15.0,15 seconds,Didn&#39t see the object it was very cloudy but it had a beam of light sort of like spot light aimed to the ground &amp; traveled about 60yds,2012-05-13,63.6941667,-170.4788889
1996-06-01 20:00:00,el paso,tx,us,disk,3600.0,1 hour,Light&#39s in Triangle Fromation,2008-08-12,31.7586111,-106.4863889
1995-05-19 09:55:00,w. salem,or,,,1200.0,20 min.,Man w/ two brothers witness 7-8 discs at high altitude.  One obj. larger than others.  Multiple calls to 911; MUFON investigating.,1999-11-02,44.950357,-123.070061
2003-12-27 18:00:00,peabody,ma,us,light,600.0,10 min,Bright object disappears.,2004-01-17,42.5277778,-70.9291667
1983-09-01 20:00:00,allentown,pa,us,disk,2100.0,35 minutes,It was about 150 ft above me &#44 made no sound&#44 emitted no wind&#44 floated till it came to Dorney Park&#44after about 5 minutes it dropped and,2006-10-30,40.6083333,-75.4905556
2005-06-15 22:00:00,stockbridge,ga,us,triangle,30.0,30 sec.,bright lights hover then hit warp speed then go separate ways,2007-04-27,33.5441667,-84.2338889
2013-10-30 03:20:00,san diego,ca,us,fireball,180.0,3 minutes,Two round orange lights hovering over south San Diego.,2013-11-11,32.7152778,-117.1563889
2006-09-05 17:00:00,livingston,tn,us,light,120.0,1-2 minutes,Brilliant white light seen in the night sky over a rural area in Tennessee,2006-10-30,36.3833333,-85.3230556
2011-12-17 19:00:00,hixson,tn,us,sphere,240.0,4 minutes,Bright object seen manuvering in night sky; bright white light changed to orange glow&#44 then disappeared,2012-01-12,35.1405556,-85.2327778
2006-10-25 19:15:00,fairbury,il,us,oval,10.0,10 seconds,2 OVAL SHAPED OBJECTS PURSUING EACH OTHER,2006-10-30,40.7472222,-88.5147222
2008-07-29 07:30:00,kennedale&#44,tx,,diamond,3600.0,1 hour,Diamond shaped craft hovers above power lines,2008-08-12,32.646801,-97.225846
2006-07-15 00:00:00,columbia,pa,us,triangle,60.0,1 minute,07/15/06 Columbia&#44 PA  Triangle shaped 1 minute 3 bright&#44 circular white lights hovered above trees,2006-10-30,40.0336111,-76.5047222
2004-10-02 23:28:00,huntington beach,ca,us,light,240.0,4 minutes,Orange light traveling parallel to the Pacific coast emitting streaks of orange light.,2005-07-05,33.6602778,-117.9983333
2001-04-01 21:00:00,stillwater,mn,us,triangle,300.0,3-5 minutes,About two weeks ago my wife and I (living in Stillwater&#44 MN) were driving to our new apartment. In fact it was the first night we were,2001-12-05,45.0563889,-92.8058333
2006-07-15 23:15:00,sea bright,nj,us,light,12.0,12 sec.,Two illuminated objects traveling in linear formation maintaining constant interval,2006-07-16,40.3613889,-73.9744444
2001-03-09 03:36:00,simi valley,ca,us,fireball,10.0,10 sec.,A green fireball passed over my car north of the San Fernando Valley at 3:36 a.m. on 03/09/01.,2002-06-12,34.2694444,-118.7805556
2003-10-07 21:35:00,san diego,ca,us,light,120.0,2 minutes,Orange light dripping flames.,2003-10-15,32.7152778,-117.1563889
2014-03-20 23:00:00,thibodaux,la,us,,120.0,2 minutes,Bright orange light slowly fades then turns into 3 red lights forming corners of a triangle flying fast overhead from south to north.,2014-03-21,29.7955556,-90.8227778
2004-03-15 22:00:00,napa,ca,us,triangle,10.0,10 seconds,It was a triangle shape with 5 white lights and it made a sound like hi-tech jet.,2004-06-18,38.2972222,-122.2844444
2013-06-04 21:00:00,manheim,pa,us,fireball,600.0,5-10 minutes,Bright orange light hovering then moving silently over head over rt 72 in manheim towards lebanon pa,2013-07-14,40.1633333,-76.3952778
2004-07-24 20:28:00,kuala lumpur (malaysia),,,other,5.0,5 seconds,star shape object moving at high speed in a straight line. blinking and after 5 sec&#44 it was blocked from view by heavy clouds. object r,2004-07-25,3.139003,101.686855
2009-11-21 17:50:00,new rochelle,ny,us,fireball,5.0,5 seconds,fireball over nyc,2009-12-12,40.9113889,-73.7827778
2008-10-22 22:42:00,columbus,oh,us,sphere,5.0,5 secinds,Bright White Sphere at I-270 and 23 on the south end travelling at an incredible rate of speed,2008-10-31,39.9611111,-82.9988889
2012-07-04 21:15:00,edwardsville,il,us,light,60.0,1 minute,Brightly light moving across sky and dimming until gone.  ((NUFORC Note:  Possible satellite??  PD)),2012-08-05,38.8113889,-89.9530556
2007-09-21 20:00:00,west chester,oh,us,triangle,180.0,3 minutes,traingular craft with array of bright lights silently gliding near treeline,2007-10-08,39.0875,-81.9227778
2007-12-10 19:30:00,miami,fl,us,cylinder,2700.0,45 minutes,A CYLINDER LIKE OBJECT WITH  HAZY LIGHT SORROUNDING IT.   ((NUFORC Note:  Missile venting fuel in space.  PD)),2008-03-04,25.7738889,-80.1938889
2007-09-22 22:30:00,los angeles,ca,us,sphere,900.0,15 min,There was a total of 4 orbs.  3 were white and one was orange/red under the gray clouds.  They were about 1-2 miles away north/east of,2007-10-08,34.0522222,-118.2427778
2006-08-17 10:30:00,eastpointe,mi,us,disk,300.0,5 minutes,High altitude bright light changing color and intensity and a dim low saucer shape  over SE Macomb County .,2007-10-08,42.4683333,-82.9555556
2001-01-01 00:01:00,lakeland,fl,us,circle,120.0,two minutes,Unknown circular object in the sky near a fireworks show in lakeland.,2001-08-05,28.0391667,-81.95
2012-08-06 21:57:00,ripley,oh,us,light,240.0,4 minutes,Bright light moving accross the night sky.,2012-08-19,38.7455556,-83.845
2013-07-24 22:00:00,castiac,ca,,circle,2700.0,45 minutes,Went outside to have a cig in the night of wednesday july 24th at about 10pm looked up to see two crafts doing complex aerial movements,2013-08-30,34.489036,-118.625655
1995-10-19 01:00:00,colorado springs,co,us,other,10.0,10 seconds,Multiple&#44 star-shaped&#44 dim yellow lights in straight line,2001-08-05,38.8338889,-104.8208333
1966-03-15 21:00:00,st joseph,mi,us,light,300.0,5 minutes,3 bright lights over Lake Michigan late 1960s,2000-12-20,42.1097222,-86.48
1981-06-15 22:30:00,las vegas (desert outside of),nv,us,unknown,5400.0,90 min,1981 strange gyrating lights in desert outside Las vegas,2004-04-27,36.175,-115.1363889
2008-06-20 12:40:00,parlier,ca,us,light,300.0,2-5 minutes,Lost UFO Firing Up as it ascends for dissapearing in an instant.  ((NUFORC Note:  Hoax&#44 or not&#44 we cannot be certain.  PD)),2008-07-05,36.6116667,-119.5261111
2007-06-04 20:45:00,raymore,mo,us,oval,6.0,6 sec. (approx.),On Monday evening June 4&#44 2007 at approximately 8:45PM my daughter observed from her bedroom window a dark grey oval shaped object movi,2007-06-12,38.8019444,-94.4525
